# Others ndvi_mean_0 ndvi_mean_1 ndvi_mean_2 ndvi_mean_3 ndvi_mean_4 ndvi_mean_5 ndvi_mean_6 ndvi_mean_7 ndvi_mean_8 ndvi_mean_9 ndvi_mean_10 ndvi_mean_11
1.000000 0.538348 0.666155 0.497766 0.609368 0.617336 0.503451 0.446447 0.539855 0.610846 0.512272 0.398152 0.386351
1.000000 0.193625 0.204078 0.245074 0.408772 0.619092 0.616080 0.556424 0.547028 0.582810 0.624094 0.593444 0.555589
1.000000 0.368857 0.353287 0.486854 0.666434 0.750067 0.602252 0.673533 0.693283 0.680714 0.650946 0.594391 0.599544
1.000000 0.287701 0.242417 0.332875 0.303090 0.562310 0.570070 0.824605 0.591570 0.463906 0.507536 0.563705 0.521471
1.000000 0.368456 0.308221 0.243655 0.443334 0.558526 0.580257 0.664274 0.613261 0.446079 0.453651 0.422698 0.387662
1.000000 0.270070 0.192868 0.181341 0.198181 0.396734 0.573331 0.646192 0.627174 0.445005 0.463058 0.452850 0.374837
1.000000 0.460640 0.424938 0.298502 0.452203 0.540943 0.518272 0.592587 0.627010 0.619146 0.588628 0.536642 0.496124
1.000000 0.472176 0.383919 0.244173 0.390704 0.618559 0.630464 0.682975 0.639718 0.463942 0.455329 0.476426 0.518702
1.000000 0.489375 0.434614 0.320966 0.514605 0.545321 0.508764 0.652694 0.650997 0.572541 0.427314 0.539993 0.519103
1.000000 0.404639 0.331446 0.278183 0.586580 0.696858 0.638915 0.725576 0.624297 0.491106 0.507698 0.487528 0.462233
1.000000 0.467048 0.402207 0.267893 0.417039 0.585693 0.625032 0.629569 0.608768 0.520055 0.489583 0.472712 0.484847
1.000000 0.195598 0.195430 0.196335 0.373733 0.676072 0.592246 0.749390 0.651659 0.602455 0.512745 0.478994 0.364090
1.000000 0.324949 0.280522 0.284090 0.262316 0.462444 0.575657 0.694698 0.476735 0.434099 0.474158 0.548648 0.499849
1.000000 0.251108 0.183515 0.172275 0.403276 0.546412 0.616542 0.720089 0.541646 0.513435 0.455085 0.514678 0.374365
1.000000 0.239075 0.166796 0.199141 0.290926 0.432892 0.553836 0.695766 0.612544 0.494780 0.294684 0.333688 0.281181
1.000000 0.218923 0.166793 0.194995 0.422486 0.713547 0.500169 0.656329 0.609436 0.589622 0.474333 0.423047 0.308033
1.000000 0.224479 0.166623 0.196444 0.429318 0.715085 0.486123 0.646201 0.624471 0.615103 0.481615 0.418741 0.309349
1.000000 0.223126 0.161741 0.189671 0.436538 0.775840 0.511475 0.633722 0.608845 0.599384 0.448927 0.416473 0.302346
1.000000 0.254176 0.241801 0.235513 0.497305 0.618316 0.568671 0.739776 0.663217 0.623865 0.624823 0.560945 0.363601
1.000000 0.261950 0.240777 0.262827 0.440945 0.695926 0.674450 0.782049 0.730822 0.633102 0.445234 0.396518 0.297698
1.000000 0.199017 0.240381 0.259139 0.427022 0.582941 0.677298 0.742581 0.721267 0.686033 0.559677 0.553278 0.363128
1.000000 0.260036 0.200516 0.184121 0.220217 0.345861 0.626244 0.533109 0.599809 0.526582 0.558455 0.556362 0.451846
1.000000 0.269863 0.154292 0.154952 0.219676 0.343702 0.686313 0.656396 0.591555 0.464028 0.540803 0.552179 0.432254
1.000000 0.287374 0.216550 0.151311 0.219265 0.352019 0.658010 0.604726 0.566156 0.409040 0.435516 0.475947 0.409103
1.000000 0.247125 0.194972 0.268740 0.281999 0.625389 0.561608 0.839475 0.595107 0.452929 0.574189 0.614945 0.579178
1.000000 0.209743 0.139460 0.151393 0.177638 0.276497 0.530618 0.638253 0.615643 0.412283 0.466758 0.468606 0.398534
1.000000 0.238746 0.196534 0.191201 0.367408 0.457928 0.622415 0.637583 0.659542 0.604377 0.582339 0.546397 0.397441
1.000000 0.399863 0.314763 0.376757 0.442756 0.606433 0.599790 0.769670 0.694721 0.590760 0.711885 0.738394 0.660140
1.000000 0.317864 0.260926 0.294079 0.437561 0.631666 0.650436 0.833461 0.592080 0.539161 0.558664 0.611715 0.632849
1.000000 0.332910 0.276527 0.316881 0.453154 0.634295 0.648466 0.824932 0.640514 0.573686 0.589640 0.630361 0.639683
1.000000 0.237621 0.214551 0.228250 0.189738 0.657627 0.531653 0.632957 0.530546 0.526031 0.501498 0.537144 0.408247
1.000000 0.266882 0.227783 0.245221 0.219369 0.626277 0.449964 0.795963 0.618677 0.521147 0.558341 0.600500 0.556222
1.000000 0.304871 0.231504 0.281959 0.302462 0.640964 0.454022 0.715092 0.563282 0.471461 0.520470 0.535171 0.503411
