,NAME_3,Maize_area_hectare,Others_area_hectare,Sesame_area_hectare,Soy_area_hectare,Crop_area_hectare,Maize_area_precent,Others_area_precent,Sesame_area_precent,Soy_area_precent
0,Nhamatanda,24849.0,21173.0,16180.0,2.0,62204.0,0.0,0.0,0.0,0.0
1,Tica,9108.0,15172.0,3177.0,2.0,27459.0,0.0,1.0,0.0,0.0
